CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;ADMITIDOS
106505;MAESTRÍA EN METROLOGÍA;2021;2;2
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2021;2;12
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2021;2;190
106973;DOCTORADO EN INGENIERÍA;2021;2;3
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2021;2;111
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2021;2;175
107390;INGENIERIA FINANCIERA;2021;2;129
107391;CIENCIAS AMBIENTALES;2021;2;89
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2021;2;13
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2021;2;146
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2021;2;539
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2021;2;10
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2021;2;108
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2021;2;117
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2021;2;139
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2021;2;92
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2021;2;103
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2021;2;26
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;2;64
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;2;475
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;2;55
52129;INGENIERIA ELECTRÓNICA;2022;2;29
52130;INGENIERIA ELECTROMECÁNICA;2022;2;29
52131;INGENIERIA DE PRODUCCIÓN;2022;2;48
52205;INGENIERIA DE SISTEMAS;2022;2;58
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;2;19
53340;INGENIERÍA BIOMÉDICA;2022;2;157
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;2;86
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;2;415
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;2;86
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;2;9
55018;ESPECIALIZACIÓN EN FINANZAS;2022;2;24
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;2;80
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;2;313
90355;ARTES VISUALES;2022;2;37
90442;INGENIERÍA MECATRÓNICA;2022;2;265
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;2;12
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2022;2;6
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;2;10
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;2;102
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;2;2
104332;QUÍMICA INDUSTRIAL;2022;2;90
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;2;64
104740;MAESTRÍA EN ARTES DIGITALES;2022;2;6
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;2;8
105852;CONTADURÍA PÚBLICA;2022;2;306
106188;INGENIERÍA DE LA CALIDAD;2022;2;116
106314;CINE;2022;2;61
106505;MAESTRÍA EN METROLOGÍA;2022;2;3
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;2;7
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;2;167
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;2;156
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;2;186
107390;INGENIERIA FINANCIERA;2022;2;106
107391;CIENCIAS AMBIENTALES;2022;2;101
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;2;14
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;2;116
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;2;662
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;2;7
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;2;276
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;2;143
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;2;104
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;2;45
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;2;102
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;2;26
110901;ESPECIALIZACIÓN EN CIBERSEGURIDAD;2022;2;37
110902;ESPECIALIZACIÓN EN INGENIERÍA DE SOFTWARE;2022;2;28
110940;ESPECIALIZACIÓN EN GESTIÓN DEL MANTENIMIENTO INDUSTRIAL;2022;2;29
55072;ADMINISTRACION TECNOLOGICA;2023;2;22
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2023;2;147
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;2;13
90355;ARTES VISUALES;2023;2;10
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2023;2;29
53800;TECNOLOGIA EN CALIDAD;2023;2;4
107391;CIENCIAS AMBIENTALES;2023;2;19
106314;CINE;2023;2;10
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;2;25
105852;CONTADURIA PUBLICA;2023;2;113
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2023;2;21
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2023;2;6
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2023;2;188
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2023;2;23
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2023;2;42
106973;DOCTORADO EN INGENIERIA;2023;2;1
11085;TECNOLOGIA EN ELECTRONICA;2023;2;1
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2023;2;1
55018;ESPECIALIZACION EN FINANZAS;2023;2;1
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;2;6
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;2;4
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2023;2;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2023;2;215
111337;TECNOLOGIA EN GESTION COMERCIAL;2023;2;1
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2023;2;22
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2023;2;10
53340;INGENIERIA BIOMEDICA;2023;2;43
106188;INGENIERIA DE LA CALIDAD;2023;2;34
52131;INGENIERIA DE PRODUCCION;2023;2;43
52205;INGENIERIA DE SISTEMAS;2023;2;46
52299;INGENIERIA DE TELECOMUNICACIONES;2023;2;13
52130;INGENIERIA ELECTROMECANICA;2023;2;25
52129;INGENIERIA ELECTRONICA;2023;2;17
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2023;2;41
107390;INGENIERIA FINANCIERA;2023;2;66
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2023;2;4
90442;INGENIERIA MECATRONICA;2023;2;55
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2023;2;4
104740;MAESTRIA EN ARTES DIGITALES;2023;2;1
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;2;2
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;2;1
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;2;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2023;2;2
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;2;1
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2023;2;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;2;15
6536;TECNOLOGIA EN PRODUCCION;2023;2;5
104332;QUIMICA INDUSTRIAL;2023;2;22
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;2023;2;6
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2023;2;19
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2023;2;39
6537;TECNOLOGIA EN TELECOMUNICACIONES;2023;2;2
