CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;ADMITIDOS
55072;ADMINISTRACIÓN TECNÓLOGICA;2017;1;304
90355;ARTES VISUALES;2017;1;108
90442;INGENIERÍA MECATRÓNICA;2017;1;463
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2017;1;9
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2017;1;11
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2017;1;15
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2017;1;212
104332;QUÍMICA INDUSTRIAL;2017;1;91
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2017;1;64
104740;MAESTRÍA EN ARTES DIGITALES;2017;1;1
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2017;1;9
105852;CONTADURÍA PÚBLICA;2017;1;180
2114;TECNOLOGIA EN ELECTROMECANICA;2018;1;291
6537;TECNOLOGIA EN TELECOMUNICACIONES;2018;1;287
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;1;167
11085;TECNOLOGIA EN ELECTRONICA;2018;1;190
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2018;1;916
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2018;1;126
52129;INGENIERIA ELECTR¿NICA;2018;1;51
52130;INGENIERIA ELECTROMEC¿NICA;2018;1;78
52131;INGENIERIA DE PRODUCCI¿N;2018;1;97
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;1;151
52205;INGENIERIA DE SISTEMAS;2018;1;90
52299;INGENIER¿A DE TELECOMUNICACIONES;2018;1;51
53340;INGENIERÍA BIOMÉDICA;2018;1;312
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2018;1;9
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2018;1;147
53800;TECNOLOGIA EN CALIDAD;2018;1;196
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2018;1;703
53802;TECNOLOGIA EN PRODUCCIÓN;2018;1;331
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2018;1;764
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2018;1;164
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2018;1;11
55018;ESPECIALIZACIÓN EN FINANZAS;2018;1;30
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2018;1;78
55072;ADMINISTRACI¿N TECN¿LOGICA;2018;1;261
90355;ARTES VISUALES;2018;1;52
90442;INGENIERÍA MECATRÓNICA;2018;1;352
101804;MAESTR¿A EN ESTUDIOS DE CIENCIA, TECNOLOG¿A, SOCIEDAD E INNOVACI¿N;2018;1;14
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2018;1;9
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2018;1;10
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2018;1;157
104332;QUÍMICA INDUSTRIAL;2018;1;87
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2018;1;54
104740;MAESTRÍA EN ARTES DIGITALES;2018;1;13
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2018;1;29
105852;CONTADURÍA PÚBLICA;2018;1;197
106188;INGENIERÍA DE LA CALIDAD;2018;1;43
106314;CINE;2018;1;59
104332;QUÍMICA INDUSTRIAL;2019;1;90
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2019;1;146
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2019;1;13
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2019;1;117
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2019;1;491
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2019;1;213
53340;INGENIERÍA BIOMÉDICA;2019;1;234
106314;CINE;2019;1;63
107390;INGENIERIA FINANCIERA;2019;1;152
106505;MAESTRÍA EN METROLOGÍA;2019;1;7
90355;ARTES VISUALES;2019;1;45
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2019;1;87
106188;INGENIERÍA DE LA CALIDAD;2019;1;130
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2019;1;126
52299;INGENIERÍA DE TELECOMUNICACIONES;2019;1;42
53800;TECNOLOGIA EN CALIDAD;2019;1;136
105852;CONTADURÍA PÚBLICA;2019;1;249
