CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;PRIMIPAROS
52130;INGENIERIA ELECTROMECÁNICA;2022;2;27
52131;INGENIERIA DE PRODUCCIÓN;2022;2;47
52205;INGENIERIA DE SISTEMAS;2022;2;56
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;2;18
53340;INGENIERÍA BIOMÉDICA;2022;2;127
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;2;69
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;2;359
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;2;71
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;2;6
55018;ESPECIALIZACIÓN EN FINANZAS;2022;2;25
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;2;70
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;2;293
90355;ARTES VISUALES;2022;2;35
90442;INGENIERÍA MECATRÓNICA;2022;2;209
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;2;7
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2022;2;4
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;2;8
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;2;87
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;2;2
104332;QUÍMICA INDUSTRIAL;2022;2;74
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;2;58
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;2;2
105852;CONTADURÍA PÚBLICA;2022;2;277
106188;INGENIERÍA DE LA CALIDAD;2022;2;100
106314;CINE;2022;2;54
106505;MAESTRÍA EN METROLOGÍA;2022;2;3
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;2;4
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;2;138
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;2;111
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;2;148
107390;INGENIERIA FINANCIERA;2022;2;98
107391;CIENCIAS AMBIENTALES;2022;2;85
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;2;8
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;2;100
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;2;576
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;2;4
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;2;265
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;2;137
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;2;87
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;2;42
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;2;86
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;2;26
110901;ESPECIALIZACIÓN EN CIBERSEGURIDAD;2022;2;32
110902;ESPECIALIZACIÓN EN INGENIERÍA DE SOFTWARE;2022;2;19
110940;ESPECIALIZACIÓN EN GESTIÓN DEL MANTENIMIENTO INDUSTRIAL;2022;2;27
55072;ADMINISTRACION TECNOLOGICA;2023;2;130
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2023;2;309
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;2;51
90355;ARTES VISUALES;2023;2;55
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2023;2;90
107391;CIENCIAS AMBIENTALES;2023;2;58
106314;CINE;2023;2;49
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;2;57
105852;CONTADURIA PUBLICA;2023;2;119
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2023;2;54
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2023;2;76
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2023;2;522
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2023;2;31
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2023;2;138
106973;DOCTORADO EN INGENIERIA;2023;2;2
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2023;2;34
55018;ESPECIALIZACION EN FINANZAS;2023;2;32
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;2;55
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;2;4
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;2;41
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2023;2;26
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2023;2;569
111337;TECNOLOGIA EN GESTION COMERCIAL;2023;2;9
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2023;2;115
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2023;2;54
53340;INGENIERIA BIOMEDICA;2023;2;162
106188;INGENIERIA DE LA CALIDAD;2023;2;50
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2023;2;70
90442;INGENIERIA MECATRONICA;2023;2;210
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2023;2;46
104740;MAESTRIA EN ARTES DIGITALES;2023;2;4
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;2;10
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2023;2;15
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;2;11
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2023;2;4
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;2;5
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;2;3
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2023;2;5
106505;MAESTRIA EN METROLOGIA;2023;2;4
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2023;2;8
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;2;39
104332;QUIMICA INDUSTRIAL;2023;2;41
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2023;2;59
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2023;2;87
