CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;PRIMIPAROS
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2018;1;6
55018;ESPECIALIZACIÓN EN FINANZAS;2018;1;24
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2018;1;52
55072;ADMINISTRACI¿N TECN¿LOGICA;2018;1;181
90355;ARTES VISUALES;2018;1;36
90442;INGENIERÍA MECATRÓNICA;2018;1;236
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2018;1;8
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2018;1;121
104332;QUÍMICA INDUSTRIAL;2018;1;68
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2018;1;48
104740;MAESTRÍA EN ARTES DIGITALES;2018;1;6
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2018;1;8
105852;CONTADURÍA PÚBLICA;2018;1;150
106188;INGENIERÍA DE LA CALIDAD;2018;1;32
106314;CINE;2018;1;49
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2019;1;172
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2019;1;637
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2019;1;76
52129;INGENIERIA ELECTRÓNICA;2019;1;24
52130;INGENIERIA ELECTROMECÁNICA;2019;1;42
52131;INGENIERIA DE PRODUCCIÓN;2019;1;71
52205;INGENIERIA DE SISTEMAS;2019;1;65
52299;INGENIERÍA DE TELECOMUNICACIONES;2019;1;35
53340;INGENIERÍA BIOMÉDICA;2019;1;196
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2019;1;4
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2019;1;97
53800;TECNOLOGIA EN CALIDAD;2019;1;106
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2019;1;404
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2019;1;93
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2019;1;7
55018;ESPECIALIZACIÓN EN FINANZAS;2019;1;17
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2019;1;66
55072;ADMINISTRACIÓN TECNÓLOGICA;2019;1;225
90355;ARTES VISUALES;2019;1;34
90442;INGENIERÍA MECATRÓNICA;2019;1;315
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2019;1;8
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2019;1;7
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2019;1;11
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2019;1;146
104332;QUÍMICA INDUSTRIAL;2019;1;76
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2019;1;36
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2019;1;19
105852;CONTADURÍA PÚBLICA;2019;1;203
106188;INGENIERÍA DE LA CALIDAD;2019;1;99
106314;CINE;2019;1;55
106505;MAESTRÍA EN METROLOGÍA;2019;1;6
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2019;1;14
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2019;1;151
106973;DOCTORADO EN INGENIERÍA;2019;1;5
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2019;1;104
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2019;1;105
107390;INGENIERIA FINANCIERA;2019;1;135
107391;CIENCIAS AMBIENTALES;2019;1;62
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2019;1;167
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2019;1;72
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2020;1;118
