CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;ADMITIDOS
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2024;1;22
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2024;1;82
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2024;1;5
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2024;1;53
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2024;1;3
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2024;1;4
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2024;1;4
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2024;1;7
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - VIRTUAL;2024;1;3
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2024;1;6
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2024;1;6
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2024;1;3
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2024;1;7
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2024;1;4
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2024;1;42
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2024;1;29
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2024;1;20
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2024;1;36
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2024;1;10
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2024;1;20
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2024;1;6
