CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;INSCRITOS
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2024;1;142
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2024;1;11
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2024;1;13
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2024;1;7
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2024;1;9
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2024;1;8
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2024;1;14
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2024;1;6
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2024;1;12
106505;MAESTRIA EN METROLOGIA;MAESTRIA EN METROLOGIA;2024;1;5
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2024;1;17
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2024;1;107
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2024;1;128
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2024;1;124
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2024;1;273
