CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;EGRESADOS
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2016;2;59
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2016;2;257
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2016;2;12
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2016;2;34
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2016;2;53
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2016;2;49
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2016;2;15
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2016;2;37
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2016;2;24
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2016;2;25
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;2;57
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2016;2;12
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2016;2;5
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2016;2;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2016;2;2
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2016;2;2
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;2;24
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2016;2;127
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2016;2;72
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2016;2;76
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2017;1;30
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2017;1;183
90355;ARTES VISUALES;ARTES VISUALES;2017;1;5
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2017;1;34
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;1;32
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2017;1;31
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2017;1;63
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2017;1;34
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2017;1;8
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2017;1;63
107695;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;2017;1;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2017;1;232
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2017;1;20
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2017;1;59
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2017;1;72
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2017;1;29
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2017;1;44
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2017;1;52
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2017;1;24
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2017;1;27
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;1;68
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2017;1;20
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2017;1;9
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2017;1;5
