NOMBRE;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2
3302-90442-INGENIERÍA MECATRÓNICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;18.29%;21.24%;20.72%;16.77%;19.68%;19.64%;15.86%;16.87%;15.26%;14.18%;16.85%;15.18%;15.38%;15.37%;14.5%;14.72%;13.88%;15.1%;14.7%;8.48%;10.5%;12%;12.24%
3302-103928-INGENIERÍA EN DISEÑO INDUSTRIAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;10.87%;12.74%;17.67%;17.89%;16.63%;11.87%;14.14%;9.31%;12.15%;11.68%;6.24%;9.03%;7.33%;9.73%
3302-104332-QUÍMICA INDUSTRIAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;16%;15.71%;17.48%;20.65%;12.78%;15.25%;11.11%;14.77%;10.23%;7.56%;9.49%;10.64%;9.95%
3302-104682-ARTES DE LA GRABACION Y PRODUCCION MUSICAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;17.81%;17.53%;16.92%;14.04%;8.25%;8.3%;15.99%;10.79%;7.57%;6.32%;10.76%;10.5%
3302-105852-CONTADURÍA PÚBLICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;16.33%;15.93%;15.59%;14.78%;15.04%;13.17%;5.44%;6.48%;8.74%;8.12%
3302-106188-INGENIERÍA DE LA CALIDAD;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;10.17%;22.35%;11.46%;24.89%;19.44%;12.46%;11.39%;12.57%;15.95%
3302-106314-CINE;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;20.83%;11.49%;13.7%;11.54%;11.79%;4.85%;8.6%;8.33%;8.83%
3302-106810-TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;38.05%;36.19%;34.75%;23.32%;22.51%;21.96%;21.98%
3302-107004-TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;39.64%;23.23%;16.99%;20.07%;20.69%;23.91%;23.99%
3302-107381-TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;36.63%;37.57%;22.46%;30.94%;27.82%;24.83%
